Christian Code,DrugBank ID,AE(kcal/mol) 4NQC,AE(kcal/mol) 5U72,MEDIA GEO EA,SMILES,Common name
db125,DB00251,"-6,7","-9,2","-7,85",CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Terconazole
db126,DB00252,"-6,4","-8,9","-7,55",O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,Phenytoin
db127,DB00253,"-6,9","-9,3","-8,01",[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,Medrysone
db128,DB00255,"-8,3","-7,9","-8,10",CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Diethylstilbestrol
db132,DB00261,"-7,8","-7,4","-7,60",ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,Anagrelide
db134,DB00263,"-7,9","-7,5","-7,70",CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,Sulfisoxazole
db137,DB00266,"-10,6","-8,3","-9,38",OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,Dicoumarol
db139,DB00268,"-8,2","-7,2","-7,68",CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,Ropinirole
db146,DB00275,"-7,1","-8,2","-7,63",CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,Olmesartan
db147,DB00276,"-6,4","-9,1","-7,63",COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,Amsacrine
db149,DB00278,"-8,4","-8,3","-8,35",C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2,Argatroban
db154,DB00283,"-7,8","-8,1","-7,95",CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,Clemastine
db157,DB00287,"-8,3",-8,"-8,15",CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,Travoprost
db158,DB00288,"-7,3","-9,3","-8,24",[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Amcinonide
db161,DB00292,"-8,1","-7,1","-7,58",CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,Etomidate
db167,DB00298,"-7,2","-8,6","-7,87",CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,Dapiprazole
db170,DB00303,"-8,1","-8,3","-8,20",[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,Ertapenem
db176,DB00310,"-8,4","-8,6","-8,50",NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,Chlorthalidone
db180,DB00315,"-8,3","-7,2","-7,73",CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,Zolmitriptan
db182,DB00317,"-7,8","-7,9","-7,85",COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,Gefitinib
db184,DB00319,"-8,3",-8,"-8,15",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,Piperacillin
db185,DB00320,"-9,4","-11,1","-10,21",[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,Dihydroergotamine
db186,DB00321,"-7,8","-9,6","-8,65",CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,Amitriptyline
db188,DB00323,"-9,6","-8,5","-9,03",CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,Tolcapone
db189,DB00324,"-6,3","-9,5","-7,74",[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,Fluorometholone
db199,DB00340,"-6,3","-9,6","-7,78",CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,Metixene
db201,DB00342,"-8,4","-10,4","-9,35",CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,Terfenadine
db208,DB00349,"-6,7","-8,4","-7,50",CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,Clobazam
db209,DB00351,"-6,9","-8,7","-7,75",[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C,Megestrol acetate
db211,DB00353,"-7,3","-7,9","-7,59",[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,Methylergometrine
db212,DB00354,"-7,2","-8,3","-7,73",CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1,Buclizine
db216,DB00358,"-7,9","-11,1","-9,36",OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,Mefloquine
db233,DB00380,"-8,5","-7,2","-7,82",C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,Dexrazoxane
db235,DB00382,"-8,1","-7,2","-7,64",NC1=C2CCCCC2=NC2=CC=CC=C12,Tacrine
db237,DB00384,"-9,2","-7,9","-8,53",NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,Triamterene
db246,DB00396,"-6,9","-8,6","-7,70",[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,Progesterone
db248,DB00398,"-9,1","-9,2","-9,15",CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,Sorafenib
db253,DB00404,"-8,8","-8,2","-8,49",CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,Alprazolam
db259,DB00412,"-8,5",-7,"-7,71",CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,Rosiglitazone
db261,DB00414,"-8,9","-7,9","-8,39",CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,Acetohexamide
db262,DB00415,"-7,4","-7,9","-7,65",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,Ampicillin
db263,DB00417,"-7,7","-7,9","-7,80",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,Phenoxymethylpenicillin
db268,DB00422,"-7,8","-7,7","-7,75",COC(=O)C(C1CCCCN1)C1=CC=CC=C1,Methylphenidate
db272,DB00427,"-6,4","-8,8","-7,50",CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1,Triprolidine
db274,DB00430,"-7,6","-8,9","-8,22",[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O,Cefpiramide
db277,DB00434,"-6,6","-10,6","-8,36",CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,Cyproheptadine
db278,DB00436,"-8,5","-8,3","-8,40",NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,Bendroflumethiazide
db286,DB00444,"-7,4","-9,8","-8,52",[H][C@]12COC(=O)[C@]1([H])[C@]([H])(C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@]2([H])O[C@]1([H])O[C@]2([H])CO[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]1([H])O)C1=CC=CS1,Teniposide
db287,DB00445,-8,"-7,8","-7,90",COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,Epirubicin
db289,DB00447,-9,"-8,1","-8,54",N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1,Loracarbef
db290,DB00448,"-7,2","-7,9","-7,54",CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,Lansoprazole
db292,DB00450,"-9,4","-8,4","-8,89",FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,Droperidol
db296,DB00455,"-7,9","-7,5","-7,70",CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,Loratadine
db299,DB00458,"-7,3","-8,2","-7,74",CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,Imipramine
db301,DB00461,"-9,9","-8,1","-8,95",COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2,Nabumetone
db303,DB00465,"-10,3","-8,5","-9,36",OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,Ketorolac
db307,DB00470,"-6,8","-8,4","-7,56",[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1,Dronabinol
db308,DB00471,"-8,3","-9,6","-8,93",OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,Montelukast
db309,DB00472,-8,-8,"-8,00",CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,Fluoxetine
db310,DB00473,"-8,2","-7,6","-7,89",CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1,Hexylcaine
db312,DB00476,"-8,5","-7,6","-8,04",CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,Duloxetine
db316,DB00480,-9,"-7,9","-8,43",NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,Lenalidomide
db317,DB00481,"-8,5","-8,1","-8,30",OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,Raloxifene
db321,DB00486,"-6,8","-8,5","-7,60",[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC,Nabilone
db325,DB00490,"-7,7","-8,4","-8,04",O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,Buspirone
db330,DB00496,"-8,7","-9,9","-9,28",NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,Darifenacin
db332,DB00498,"-10,3","-9,5","-9,89",O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,Phenindione
db334,DB00500,"-9,7","-8,2","-8,92",CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,Tolmetin
db336,DB00502,"-8,6","-8,3","-8,45",OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,Haloperidol
db339,DB00507,"-7,3","-7,8","-7,55",CC(=O)OC1=CC=CC=C1C(=O)NC1=NC=C(S1)[N+]([O-])=O,Nitazoxanide
db345,DB00519,"-7,5","-8,5","-7,98",[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,Trandolapril
db346,DB00521,"-8,1","-7,5","-7,79",CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2,Carteolol
db347,DB00522,"-7,8","-8,5","-8,14",OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1,Bentiromide
db349,DB00524,-7,"-8,1","-7,53",CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O,Metolazone
db350,DB00525,"-7,5","-8,9","-8,17",CN(C(=S)OC1=CC2=CC=CC=C2C=C1)C1=CC=CC(C)=C1,Tolnaftate
db351,DB00527,"-7,6","-7,6","-7,60",CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,Cinchocaine
db352,DB00528,"-8,2","-9,5","-8,83",COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=C1,Lercanidipine
db354,DB00530,"-7,4","-7,8","-7,60",COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2,Erlotinib
db356,DB00532,"-7,1",-8,"-7,54",CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,Mephenytoin
db357,DB00533,"-7,4","-8,7","-8,02",CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1,Rofecoxib
db362,DB00540,-10,"-9,3","-9,64",CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,Nortriptyline
db363,DB00542,"-8,3","-8,4","-8,35",[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,Benazepril
db364,DB00543,"-6,7","-8,7","-7,63",ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,Amoxapine
db370,DB00549,"-9,3","-10,8","-10,02",COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C,Zafirlukast
db375,DB00554,"-7,1","-8,7","-7,86",CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,Piroxicam
db380,DB00559,"-8,1","-8,7","-8,39",COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,Bosentan
db382,DB00562,"-8,3","-8,6","-8,45",NS(=O)(=O)C1=CC2=C(C=C1Cl)N=C(CSCC1=CC=CC=C1)NS2(=O)=O,Benzthiazide
db384,DB00564,"-10,4","-9,2","-9,78",NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,Carbamazepine
db386,DB00567,"-7,2","-8,1","-7,64",[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,Cephalexin
db387,DB00568,"-8,2","-9,3","-8,73",C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,Cinnarizine
db388,DB00571,"-8,6","-7,6","-8,08",CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,Propranolol
db389,DB00573,"-8,7","-8,3","-8,50",CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,Fenoprofen
db390,DB00574,"-8,5","-7,5","-7,98",CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,Fenfluramine
db394,DB00578,"-7,5","-8,5","-7,98",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(O)=O)C1=CC=CC=C1)C(O)=O,Carbenicillin
db395,DB00579,"-7,8","-8,1","-7,95",OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1,Mazindol
db400,DB00584,"-8,1","-8,5","-8,30",CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,Enalapril
db402,DB00586,"-9,4","-8,7","-9,04",OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Diclofenac
db403,DB00587,"-6,7","-8,6","-7,59",CCC(CC)(CC(=O)NC1=CC(\C=C\C2=NC(=CS2)C2CCC2)=CC=C1)C(O)=O,Cinalukast
db404,DB00588,"-6,7","-8,6","-7,59",[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Fluticasone propionate
db406,DB00590,"-7,3",-9,"-8,11",COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1,Doxazosin
db412,DB00598,"-8,4",-8,"-8,20",CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,Labetalol
db414,DB00600,"-8,7","-7,5","-8,08",OC1=CC=C(OCC2=CC=CC=C2)C=C1,Monobenzone
db416,DB00603,"-7,1","-8,9","-7,95",[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,Medroxyprogesterone acetate
db417,DB00604,"-7,9","-7,7","-7,80",CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC,Cisapride
db420,DB00607,"-7,6",-9,"-8,27",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OCC)C=CC2=CC=CC=C12)C(O)=O,Nafcillin
db424,DB00611,"-6,4","-9,1","-7,63",[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1,Butorphanol
db429,DB00619,"-9,2","-9,9","-9,54",CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,Imatinib
db432,DB00622,"-8,5","-8,5","-8,50",COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,Nicardipine
db435,DB00625,"-7,1","-8,9","-7,95",FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,Efavirenz
db437,DB00628,"-8,2","-8,8","-8,49",OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,Clorazepic acid
db438,DB00629,"-8,6","-6,6","-7,53",NC(N)=NN=CC1=C(Cl)C=CC=C1Cl,Guanabenz
db441,DB00633,"-9,1","-7,8","-8,42",C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1,Dexmedetomidine
db445,DB00637,"-8,8","-8,4","-8,60",COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,Astemizole
db450,DB00643,"-9,7","-8,9","-9,29",COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,Mebendazole
db453,DB00648,"-8,7","-7,9","-8,29",ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,Mitotane
db458,DB00654,-8,"-8,4","-8,20",CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1,Latanoprost
db460,DB00656,"-8,1","-8,3","-8,20",ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,Trazodone
db463,DB00660,"-8,8",-8,"-8,39",CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1,Metaxalone
db466,DB00663,"-6,6","-8,7","-7,58",[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Flumethasone
db468,DB00665,"-7,3","-8,2","-7,74",CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,Nilutamide
db471,DB00670,"-6,5","-9,2","-7,73",CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1,Pirenzepine
db474,DB00673,"-7,9","-9,4","-8,62",C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,Aprepitant
db477,DB00676,"-8,6","-7,9","-8,24",O=C(OCC1=CC=CC=C1)C1=CC=CC=C1,Benzyl benzoate
db479,DB00678,"-7,1","-8,5","-7,77",CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,Losartan
